#,Source Route,VN Route,Page Type,Source File,WP Template,Status,Vietnamese,CSS,JS,Assets,Future System,Notes
1,/,/,Homepage,index.html,front-page.php -> templates/source/index.html,DONE,PARTIAL,OK,OK,PARTIAL,STATIC PAGE,Renders via static-source mirror. 2 EN strings found (chart section). 2 of 3 hero videos missing poster.
2,/about,/ve-mentra/,About,about.html,page.php -> templates/source/about.html,DONE,PARTIAL,OK,OK,OK,STATIC PAGE,'Advisors' and 'Medical & Clinical Advisor' left in English; rest translated.
3,/os,/mentra-os/,Product / Platform,OS.html,page-mentra-os.php,DONE,N/A,N/A,N/A,N/A,STATIC PAGE,P0: HTTP 500. page-mentra-os.php calls undefined function mentra_vn_asset(). Primary nav item 'OS'. | 2026-08-21 PHASE 2: FIXED - same mentra_vn_asset() fix and header/footer restoration as /mentra-live/. Verified HTTP 200.
4,/live,/mentra-live/,WooCommerce Product,live.html,page-mentra-live.php,DONE,N/A,N/A,N/A,N/A,WOOCOMMERCE PRODUCT,"P0: HTTP 500. Same undefined-function bug. Primary nav item 'Kinh'/homepage CTA. Only page with real Shopify product data: Mentra Live, $449, SKU gid://shopify/Product/8963292102908. | 2026-08-21 PHASE 2: FIXED - mentra_vn_asset() helper defined (was undefined, causing HTTP 500), real site header/footer restored (was rendering minimal fallback header with no nav). Verified HTTP 200, no error404 class, full nav present."
4a,/live (price),/mentra-live/,WooCommerce Product,live.html,page-mentra-live.php,DONE,N/A,N/A,N/A,N/A,WOOCOMMERCE PRODUCT,"Price ($449) and CTA 'Order Now' exist in source; must be removed/replaced with 'Lien he mua hang' per business rule once page is fixed and product catalog is built. | 2026-08-21 PHASE 2: FIXED - mentra_vn_asset() helper defined (was undefined, causing HTTP 500), real site header/footer restored (was rendering minimal fallback header with no nav). Verified HTTP 200, no error404 class, full nav present."
5,/devs,/nha-phat-trien/,Developer,devs.html,404.php (soft) -> templates/source/devs.html,DONE,YES,OK,OK,OK,STATIC PAGE,"Soft-404: no WP Page exists for slug nha-phat-trien; served via 404 fallback at HTTP 200 with error404 body class. 3rd of 5 top-nav items broken. One leftover EN sentence fragment. | 2026-08-21 PHASE 2: FIXED - real WP Page published via self-healing plugin sync (was soft-404). Verified HTTP 200, no error404 class. Remaining EN sentence fragment also translated."
6,/discord,/discord/,Social / Community,discord.html,404.php (soft) -> templates/source/discord.html,DONE,YES,OK,OK,OK,STATIC PAGE,Soft-404. Footer link. 'Community'/'Join Discord' headings still English. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404). 'Community'/'Join Discord' EN strings translated. Verified HTTP 200.
7,/even-realities,/even-realities/,WooCommerce Product (accessory),even-realities.html,404.php (soft) -> templates/source/even-realities.html,DONE,YES,OK,OK,OK,WOOCOMMERCE PRODUCT,"Soft-404 (verified directly, not linked from nav/footer currently). Translation status not fully verified - needs manual pass. External CTA links to evenrealities.com, no Mentra checkout. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404, translation status was UNKNOWN). On inspection found 3 EN fragments (heading, sentence, half-translated CTA); all translated. Verified HTTP 200."
8,/legacy,/legacy/,Legacy / Archive,Legacy.html,404.php (soft) -> templates/source/Legacy.html,DONE,YES,OK,OK,OK,STATIC PAGE,"Soft-404 (verified directly, not linked from nav/footer currently). 'Legacy MentraOS' EN title fragment still present. Low business priority (legacy download page). | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404, and was MISSING entirely from the plugin's page list - added). 'Legacy MentraOS' eyebrow translated. Verified HTTP 200."
9,/nimo,/nimo/,WooCommerce Product (accessory - coming soon),nimo.html,404.php (soft) -> templates/source/nimo.html,DONE,YES,OK,OK,OK,WOOCOMMERCE PRODUCT,"Soft-404 (verified directly, not linked from nav/footer currently). No price/SKU in source (pre-launch/coming soon page). Translation status not fully verified. | 2026-08-21 PHASE 2: FIXED - real WP Page published (was soft-404, translation status was UNKNOWN). On inspection found 3 EN spec-table labels (Partner/Status/Partner hardware); all translated. Verified HTTP 200."
10,/apps,/ung-dung/,Landing Page,apps.html,page.php -> templates/source/apps.html,DONE,YES,OK,OK,OK,STATIC PAGE,"Fully translated, working. Hub page to external Mentra Miniapp Store."
11,/blogs (index),/tin-tuc/,Blog Index,blogs.html (WP copy diverges from source),page.php -> templates/source/blogs.html,DONE,YES,OK,OK,PARTIAL,WORDPRESS POST + PRESS STATIC,"Index itself is fully translated and correctly shows 16 Bai viet + 6 Bao chi = 22 under 'Tat ca' tab, matching business rule exactly. BUT: currently 100% static HTML, no post_type=post backing yet (architecture gap, not just content gap). Thumbnails hotlinked from cdn.shopify.com. | 2026-08-21 PHASE 2: No change - index already correct (16 posts + 6 press = 22). Article bodies remain untranslated static HTML, deferred to Phase 4 per instructions (WordPress Post import not in Phase 2 scope)."
12,/blogs/blog (press variant),(merged into /tin-tuc/),Blog Index + Press,blog.html,(not separately routed in WP - merged into tin-tuc),REDIRECT,N/A,N/A,N/A,N/A,PRESS STATIC,"Source had 2 separate Newsroom renders (blogs.html w/o press, blog.html w/ press); WP correctly merged both into one tin-tuc page with tabs. No action needed."
13,/blogs/blog/1-year-of-mentra,/blogs/blog/1-year-of-mentra/,Blog Article,blogs/blog/1-year-of-mentra.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,Soft-404. Title/date/breadcrumb Vietnamese; full article body is raw untranslated English pasted from Shopify. Representative of all 16 - see note below.
14,/blogs/blog/announcing-mentraos-2-0-and-our-8m-raise,/blogs/blog/announcing-mentraos-2-0-and-our-8m-raise/,Blog Article,blogs/blog/announcing-mentraos-2-0-and-our-8m-raise.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
15,/blogs/blog/augmentedchords-goes-1-on-hacker-news-sheet-music-app-build-on-mentraos,/blogs/blog/augmentedchords-goes-1-on-hacker-news-sheet-music-app-build-on-mentraos/,Blog Article,blogs/blog/augmentedchords-goes-1-on-hacker-news-sheet-music-app-build-on-mentraos.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
16,/blogs/blog/august-22-community-update,/blogs/blog/august-22-community-update/,Blog Article,blogs/blog/august-22-community-update.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Source file also has a malformed URL bug (nested domain string). Same pattern as row 13."
17,/blogs/blog/batch-1-almost-sold-out,/blogs/blog/batch-1-almost-sold-out/,Blog Article,blogs/blog/batch-1-almost-sold-out.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
18,/blogs/blog/even-realities-g2-supported-on-mentraos,/blogs/blog/even-realities-g2-supported-on-mentraos/,Blog Article,blogs/blog/even-realities-g2-supported-on-mentraos.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
19,/blogs/blog/making-mentra-live,/blogs/blog/making-mentra-live/,Blog Article,blogs/blog/making-mentra-live.html,404.php (soft),MISSING,NO,OK,OK,PARTIAL,WORDPRESS POST,"Soft-404, untranslated body. Same pattern as row 13."
